volume_id,true_pixels,predicted_pixels,intersection_pixels,micro_dice,tumor_threshold,liver_threshold,dilation_kernel,mode
109,18200,21714,12895,0.6461391992873142,0.10000000149011612,0.699999988079071,31,liver_supported
110,31120,24742,19679,0.7045576599530171,0.10000000149011612,0.699999988079071,31,liver_supported
111,1830,3881,854,0.29907196650340184,0.10000000149011612,0.699999988079071,31,liver_supported
112,295,4784,153,0.06024808051580073,0.10000000149011612,0.699999988079071,31,liver_supported
113,21076,26422,13569,0.571350372656294,0.10000000149011612,0.699999988079071,31,liver_supported
114,0,1,0,9.99999000001e-07,0.10000000149011612,0.699999988079071,31,liver_supported
115,0,4881,0,2.0487604994778198e-10,0.10000000149011612,0.699999988079071,31,liver_supported
116,152763,693,0,6.516525909664551e-12,0.10000000149011612,0.699999988079071,31,liver_supported
104,69032,397,0,1.4403203272200331e-11,0.15000000596046448,,1,raw
105,0,2212,0,4.520795657992407e-10,0.15000000596046448,,1,raw
106,0,1471,0,6.798096528349356e-10,0.15000000596046448,,1,raw
107,1473,4445,245,0.08279824280452885,0.15000000596046448,,1,raw
108,363698,241087,184106,0.6088312375478743,0.15000000596046448,,1,raw
109,18200,21217,12775,0.6481974782543523,0.15000000596046448,,1,raw
110,31120,24338,19522,0.7040282736538637,0.15000000596046448,,1,raw
111,1830,3804,846,0.3003194889420803,0.15000000596046448,,1,raw
112,295,4627,151,0.06135717207205258,0.15000000596046448,,1,raw
113,21076,25937,13493,0.5740114436523087,0.15000000596046448,,1,raw
114,0,1,0,9.99999000001e-07,0.15000000596046448,,1,raw
115,0,4738,0,2.1105951873975102e-10,0.15000000596046448,,1,raw
116,152763,654,0,6.518182469957578e-12,0.15000000596046448,,1,raw
104,69032,397,0,1.4403203272200331e-11,0.15000000596046448,0.30000001192092896,1,liver_supported
105,0,2212,0,4.520795657992407e-10,0.15000000596046448,0.30000001192092896,1,liver_supported
106,0,1471,0,6.798096528349356e-10,0.15000000596046448,0.30000001192092896,1,liver_supported
107,1473,4445,245,0.08279824280452885,0.15000000596046448,0.30000001192092896,1,liver_supported
108,363698,241087,184106,0.6088312375478743,0.15000000596046448,0.30000001192092896,1,liver_supported
109,18200,21217,12775,0.6481974782543523,0.15000000596046448,0.30000001192092896,1,liver_supported
110,31120,24338,19522,0.7040282736538637,0.15000000596046448,0.30000001192092896,1,liver_supported
111,1830,3804,846,0.3003194889420803,0.15000000596046448,0.30000001192092896,1,liver_supported
112,295,4627,151,0.06135717207205258,0.15000000596046448,0.30000001192092896,1,liver_supported
113,21076,25937,13493,0.5740114436523087,0.15000000596046448,0.30000001192092896,1,liver_supported
114,0,1,0,9.99999000001e-07,0.15000000596046448,0.30000001192092896,1,liver_supported
115,0,4738,0,2.1105951873975102e-10,0.15000000596046448,0.30000001192092896,1,liver_supported
116,152763,654,0,6.518182469957578e-12,0.15000000596046448,0.30000001192092896,1,liver_supported
104,69032,397,0,1.4403203272200331e-11,0.15000000596046448,0.30000001192092896,5,liver_supported
105,0,2212,0,4.520795657992407e-10,0.15000000596046448,0.30000001192092896,5,liver_supported
