configuration,channels,epoch,loss,gradient_finite,hard_micro_dice,positive_predicted_empty_pct
broad_liver_narrow_3ch,3,11,0.2639142535626888,True,0.6130827020522087,6.25
broad_liver_narrow_3ch,3,12,0.22652005031704903,True,0.6318709312303461,0.0
broad_liver_narrow_3ch,3,13,0.21011001616716385,True,0.6632915942824489,6.25
broad_liver_narrow_3ch,3,14,0.20718972384929657,True,0.5818427122865943,0.0
broad_liver_narrow_3ch,3,15,0.2193385325372219,True,0.6845610140871382,6.25
broad_liver_narrow_3ch,3,16,0.1871683020144701,True,0.7047573079216641,12.5
broad_liver_narrow_3ch,3,17,0.17209397815167904,True,0.7260726072682598,0.0
broad_liver_narrow_3ch,3,18,0.16384052857756615,True,0.7449848115809503,6.25
broad_liver_narrow_3ch,3,19,0.1590457260608673,True,0.7551920800668462,0.0
broad_liver_narrow_3ch,3,20,0.17709136381745338,True,0.7327461039654257,0.0
broad_liver_narrow_3ch,3,21,0.14621015079319477,True,0.7212157017289873,6.25
broad_liver_narrow_3ch,3,22,0.1425669565796852,True,0.7683448988688335,0.0
broad_liver_narrow_3ch,3,23,0.12777826376259327,True,0.8067034951713932,0.0
broad_liver_narrow_3ch,3,24,0.1262997705489397,True,0.82549813618425,0.0
broad_liver_narrow_3ch,3,25,0.11238906905055046,True,0.8313314523758879,0.0
broad_liver_narrow_3ch,3,26,0.11138378828763962,True,0.8571830431275934,6.25
broad_liver_narrow_3ch,3,27,0.11762459389865398,True,0.855458175876941,0.0
broad_liver_narrow_3ch,3,28,0.10427996516227722,True,0.8615790699515674,0.0
broad_liver_narrow_3ch,3,29,0.0975144449621439,True,0.8536768593012527,0.0
broad_liver_narrow_3ch,3,30,0.0904427170753479,True,0.8261745125488361,0.0
broad_liver_narrow_3ch,3,31,0.08869415801018476,True,0.8440749662227814,0.0
broad_liver_narrow_3ch,3,32,0.0966775631532073,True,0.8609022556425381,0.0
broad_liver_narrow_3ch,3,33,0.08631962910294533,True,0.8657654825561729,0.0
broad_liver_narrow_3ch,3,34,0.09026906080543995,True,0.8758892444430252,0.0
broad_liver_narrow_3ch,3,35,0.0784740187227726,True,0.8542423488466225,0.0
broad_liver_narrow_3ch,3,36,0.09474880807101727,True,0.8770398376504117,0.0
broad_liver_narrow_3ch,3,37,0.0690440172329545,True,0.873751090074156,0.0
broad_liver_narrow_3ch,3,38,0.0684160953387618,True,0.8834207341701379,0.0
broad_liver_narrow_3ch,3,39,0.06657621636986732,True,0.8906064821999637,0.0
broad_liver_narrow_3ch,3,40,0.06252913363277912,True,0.8964576169451324,0.0
broad_liver_narrow_3ch,3,41,0.05741699878126383,True,0.8990548804728495,0.0
broad_liver_narrow_3ch,3,42,0.053591313771903515,True,0.9004699519572457,0.0
